"",".rownames","price_3_nights","neigh_simp","number_of_reviews","reviews_per_month",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"25","25",1328.8,"Unincorporated Areas",176,1.66,944.51713394798,384.28286605202,0.0024314759269533,740.479124934658,0.000109745970345368,0.519764122386348
"26","26",528.5,"Unincorporated Areas",84,0.76,1061.3410205296,-532.841020529605,0.0021901222876858,740.397979246066,0.000189963477570144,-0.720610188074067
"27","27",1359,"City of Santa Cruz",89,0.87,1154.42038738155,204.579612618445,0.0047247999233247,740.542117819583,6.07188870768089e-05,0.277024006847357
"28","28",314.08,"Unincorporated Areas",411,3.73,665.60494911018,-351.52494911018,0.00689385497612431,740.493156022549,0.000262715171981281,-0.476524204924353
"29","29",755,"Unincorporated Areas",31,0.3,1123.66111060705,-368.661110607048,0.00235838293901913,740.486139391741,9.79539389968691e-05,-0.498616555494856
"30","30",679.5,"Unincorporated Areas",37,0.36,1115.93106942582,-436.431069425823,0.00231875520415055,740.453635727783,0.000134959868905869,-0.590264143660896
"31","31",664.4,"City of Santa Cruz",88,0.81,1159.96725640465,-495.567256404646,0.00477285777232011,740.42043664704,0.00035994928728292,-0.67107049349667
"32","32",166.1,"Unincorporated Areas",192,1.9,917.090044676095,-750.990044676095,0.00247790125869017,740.231008260794,0.000427178460558579,-1.01577977879214
"33","33",1023.78,"City of Santa Cruz",116,1.13,1120.48690783129,-96.7069078312875,0.00469997748000992,740.561526116268,1.3495991155166e-05,-0.130950492494583
"34","34",890.9,"Unincorporated Areas",293,2.79,797.188153975074,93.7118460249259,0.00390228645903355,740.561870874427,1.05052474891446e-05,0.126844069658699
"35","35",619.1,"City of Santa Cruz",86,0.82,1159.98881950266,-540.888819502655,0.00475081392231679,740.392382623384,0.000426798032481179,-0.732434402277427
"36","36",1217.06,"City of Capitola",171,1.68,1257.62919590157,-40.5691959015694,0.00778035872092162,740.566124834139,3.95620532154416e-06,-0.0550198162910207
"37","37",1736.5,"City of Capitola",260,2.51,1148.07715297153,588.422847028467,0.00893549637470152,740.359444744135,0.000958067118968605,0.79848215036855
"38","38",794.26,"Unincorporated Areas",385,3.69,680.36426739345,113.89573260655,0.00595226612418459,740.559354698823,2.37675714076979e-05,0.154322936503078
"39","39",362.4,"Unincorporated Areas",257,2.6,829.089403053272,-466.689403053272,0.00316980088468758,740.437243323781,0.000211323371070639,-0.631457305849104
"40","40",679.5,"Unincorporated Areas",3,0.07,1155.47610729321,-475.976107293209,0.00254321732231668,740.432107800556,0.000176143914878722,-0.643820431622188
"41","41",733.86,"City of Santa Cruz",274,2.67,920.335979786679,-186.475979786679,0.00591285274403291,740.546320678588,6.32843003045315e-05,-0.252660478499727
"42","42",350.32,"Unincorporated Areas",555,5.47,454.532787803462,-104.212787803462,0.0117270670823031,740.560579468236,3.96624627165492e-05,-0.141614984571963
"43","43",1537.18,"City of Santa Cruz",168,1.64,1054.34492335925,482.83507664075,0.00483707041051717,740.427868282156,0.000346332857897542,0.653850355002443
"44","44",1506.98,"Unincorporated Areas",31,0.31,1122.8094048418,384.170595158196,0.00234932389097495,740.479183582918,0.000105958591136102,0.51959087540313
"45","45",649.3,"Unincorporated Areas",58,1.23,1032.66334478542,-383.363344785425,0.00173444884926223,740.479606669548,7.780231871605e-05,-0.518339361341438
"46","46",755,"City of Santa Cruz",597,5.89,505.053801962657,249.946198037343,0.0156352225026867,740.529390372391,0.000306610516549684,0.34032601487733
"47","47",404.68,"City of Capitola",195,1.93,1225.85732541143,-821.177325411426,0.00799082315378969,740.162996619329,0.0016654671822053,-1.11379624678298
"48","48",912.04,"Unincorporated Areas",9,1.39,1040.43113969123,-128.391139691226,0.00183321760681259,740.557295533793,9.22528821261809e-06,-0.173604166252838
"49","49",954.32,"City of Santa Cruz",111,1.11,1124.37349151991,-170.053491519909,0.00467436627023169,740.549842839325,4.15016639377221e-05,-0.230265887520687
"50","50",434.88,"City of Santa Cruz",733,7.38,318.767360240056,116.112639759944,0.0225551227990421,740.558912905702,9.68103265587098e-05,0.15865728097054
"51","51",2416,"City of Santa Cruz",159,1.6,1061.68145630487,1354.31854369513,0.00475247631077374,739.47098761893,0.00267671073643608,1.83392646643386
"52","52",166.1,"Unincorporated Areas",172,1.8,934.339790961069,-768.239790961069,0.00224456406563055,740.215469397885,0.000404743084955342,-1.0389900592067
"53","53",377.5,"Unincorporated Areas",112,1.12,1018.45384889527,-640.95384889527,0.00210022122747983,740.322392861311,0.000263540127753117,-0.866782116963243
"54","54",1881.46,"City of Santa Cruz",67,0.78,1171.69169676454,709.768303235462,0.00469118564171483,740.266232409589,0.0007256081668349,0.961090582326229
